,Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha),Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
0,janeiro 2014,1.4 Arroz,Parana,30950.0,,164384.0,5311.0,22.93,144.36,901.2,1.44
1,janeiro 2014,1.8 Feijao (1 Safra),Parana,239112.0,,431624.0,1805.0,22.93,144.36,901.2,1.44
2,janeiro 2014,1.9 Feijao (2 Safra),Parana,269963.0,,518332.0,1920.0,22.93,144.36,901.2,1.44
3,janeiro 2014,1.10 Feijao (3 Safra),Parana,5799.0,,5119.0,883.0,22.93,144.36,901.2,1.44
4,janeiro 2014,1.13 Milho (1 Safra),Parana,669988.0,,5623929.0,8394.0,22.93,144.36,901.2,1.44
5,janeiro 2014,1.14 Milho (2 Safra),Parana,1931330.0,,10154602.0,5258.0,22.93,144.36,901.2,1.44
6,janeiro 2014,1.15 Soja,Parana,4998120.0,,16686225.0,3339.0,22.93,144.36,901.2,1.44
7,janeiro 2014,1.17 Trigo,Parana,979793.0,,1796079.0,1833.0,22.93,144.36,901.2,1.44
8,janeiro 2014,15 Fumo,Parana,75995.0,,173750.0,2286.0,22.93,144.36,901.2,1.44
9,fevereiro 2014,1.4 Arroz,Parana,30700.0,,160713.0,5235.0,22.2,100.75,816.63,1.64
10,fevereiro 2014,1.8 Feijao (1 Safra),Parana,239112.0,,421680.0,1764.0,22.2,100.75,816.63,1.64
11,fevereiro 2014,1.9 Feijao (2 Safra),Parana,266563.0,,511137.0,1918.0,22.2,100.75,816.63,1.64
12,fevereiro 2014,1.10 Feijao (3 Safra),Parana,5799.0,,5119.0,883.0,22.2,100.75,816.63,1.64
13,fevereiro 2014,1.13 Milho (1 Safra),Parana,669988.0,,5508351.0,8222.0,22.2,100.75,816.63,1.64
14,fevereiro 2014,1.14 Milho (2 Safra),Parana,1907767.0,,10011557.0,5248.0,22.2,100.75,816.63,1.64
15,fevereiro 2014,1.15 Soja,Parana,4998120.0,,14655377.0,2932.0,22.2,100.75,816.63,1.64
16,fevereiro 2014,1.17 Trigo,Parana,979793.0,,1796079.0,1833.0,22.2,100.75,816.63,1.64
17,fevereiro 2014,15 Fumo,Parana,76262.0,,171838.0,2253.0,22.2,100.75,816.63,1.64
18,marco 2014,1.4 Arroz,Parana,30342.0,,154663.0,5097.0,19.37,167.23,863.63,1.62
19,marco 2014,1.8 Feijao (1 Safra),Parana,239112.0,,421680.0,1764.0,19.37,167.23,863.63,1.62
20,marco 2014,1.9 Feijao (2 Safra),Parana,263718.0,,490386.0,1860.0,19.37,167.23,863.63,1.62
